PLAYER_ID,PLAYER_NAME,OPPONENT_ABBREV,PTS,REB,AST,STL,BLK,FG3M,TOV,PRA,PR,PA,RA,FANTASY_PTS,MIN,GAMES_PLAYED
202685,Jonas Valančiūnas,IND,6.0,5.0,3.0,0.0,1.0,0.0,1.0,14.0,11.0,9.0,8.0,18.5,14.0,1
202685,Jonas Valančiūnas,LAC,8.0,3.0,1.0,0.0,1.0,0.0,1.0,12.0,11.0,9.0,4.0,15.1,11.0,1
202685,Jonas Valančiūnas,MEM,6.0,6.0,1.0,1.0,0.0,0.0,1.0,13.0,12.0,7.0,7.0,16.7,14.0,1
202685,Jonas Valančiūnas,MIA,6.0,6.0,0.0,0.0,0.0,0.0,2.0,12.0,12.0,6.0,6.0,11.2,11.0,1
202685,Jonas Valančiūnas,MIN,5.0,5.0,1.0,0.0,1.0,0.0,0.5,11.0,10.0,6.0,6.0,15.0,11.0,2
202685,Jonas Valančiūnas,NOP,12.0,6.5,1.5,0.0,0.0,0.0,1.0,20.0,18.5,13.5,8.0,21.05,15.0,2
202685,Jonas Valančiūnas,PHX,12.0,7.0,1.0,0.0,0.0,0.0,1.0,20.0,19.0,13.0,8.0,20.9,13.0,1
202685,Jonas Valančiūnas,POR,10.0,3.0,1.0,0.0,1.0,0.0,2.0,14.0,13.0,11.0,4.0,16.1,11.0,1
202685,Jonas Valančiūnas,SAC,8.67,4.0,0.67,0.33,1.33,0.0,1.0,13.33,12.67,9.33,4.67,18.47,12.67,3
202687,Bismack Biyombo,BKN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.2,12.0,1
202687,Bismack Biyombo,DAL,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,5.2,5.0,1
202687,Bismack Biyombo,MIA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.2,7.0,1
202687,Bismack Biyombo,PHX,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.7,6.0,1
202687,Bismack Biyombo,SAC,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.2,2.0,1
202687,Bismack Biyombo,TOR,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,7.7,14.0,1
202691,Klay Thompson,DET,11.0,3.0,1.0,0.0,0.0,3.0,0.0,15.0,14.0,12.0,4.0,16.1,20.0,1
202691,Klay Thompson,HOU,5.0,3.0,3.0,0.0,1.0,1.0,2.0,11.0,8.0,8.0,6.0,14.1,18.0,1
