Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
285.0,Jaden Hardy,23.0,DAL,SG,16.0,0.0,11.1,1.9,4.9,0.385,1.3,3.1,0.4,0.6,1.8,0.357,0.513,1.0,1.3,0.8,0.3,1.1,1.3,0.4,0.3,0.1,0.9,1.3,6.0
286.0,Jett Howard,22.0,ORL,SF,14.0,0.0,11.0,2.2,4.9,0.456,1.2,3.1,0.386,1.0,1.7,0.583,0.581,0.4,0.4,1.0,0.3,0.9,1.1,0.8,0.1,0.2,0.1,0.8,6.0
287.0,Jahmai Mashack,23.0,MEM,SG,1.0,0.0,6.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
288.0,Doug McDermott,34.0,SAC,SF,1.0,0.0,8.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
289.0,Blake Wesley,22.0,POR,SG,6.0,0.0,16.3,2.3,5.7,0.412,0.3,1.7,0.2,2.0,4.0,0.5,0.441,1.0,1.7,0.6,0.3,2.0,2.3,3.2,1.7,0.2,1.2,2.3,6.0
290.0,Mouhamed Gueye,23.0,ATL,PF,19.0,2.0,16.7,2.5,5.1,0.485,0.6,2.3,0.273,1.8,2.8,0.66,0.546,0.3,0.6,0.5,1.5,2.5,4.0,1.2,0.4,0.6,0.7,1.8,5.9
291.0,Alex Caruso,31.0,OKC,SG,13.0,0.0,18.2,2.1,5.2,0.403,1.2,3.4,0.364,0.8,1.8,0.478,0.522,0.5,0.6,0.75,0.3,1.8,2.1,2.7,1.7,0.3,0.8,0.8,5.8
292.0,Al Horford,39.0,GSW,C,12.0,0.0,21.8,2.0,5.8,0.343,1.3,4.2,0.32,0.7,1.7,0.4,0.457,0.5,0.5,1.0,0.9,3.3,4.3,1.8,1.0,1.0,1.3,1.6,5.8
293.0,Craig Porter Jr.,25.0,CLE,PG,17.0,0.0,17.4,2.4,4.4,0.533,0.8,1.7,0.448,1.6,2.7,0.587,0.62,0.4,0.7,0.5,1.2,1.7,2.9,2.5,1.0,0.6,0.8,1.0,5.8
294.0,Jaxson Hayes,25.0,LAL,C,14.0,2.0,17.7,2.3,3.1,0.727,0.1,0.1,1.0,2.2,3.1,0.721,0.739,0.9,1.2,0.706,1.2,2.9,4.1,1.2,0.4,0.4,0.6,1.6,5.5
295.0,Walter Clayton,22.0,UTA,PG,13.0,0.0,15.9,1.8,4.7,0.377,0.8,2.6,0.294,1.0,2.1,0.481,0.459,1.1,1.1,1.0,0.5,1.6,2.1,3.2,0.5,0.3,1.4,1.8,5.4
296.0,Jared McCain,21.0,PHI,SG,8.0,0.0,14.1,2.0,6.0,0.333,1.0,2.8,0.364,1.0,3.3,0.308,0.417,0.4,0.5,0.75,0.1,0.9,1.0,1.1,0.3,0.0,0.5,1.5,5.4
297.0,Kris Murray,25.0,POR,SF,17.0,1.0,23.8,2.2,5.1,0.43,0.4,1.8,0.226,1.8,3.2,0.545,0.471,0.6,0.9,0.688,1.8,1.9,3.7,1.0,1.2,0.2,0.8,1.9,5.4
298.0,Jaylin Williams,23.0,OKC,PF,17.0,1.0,18.5,1.8,5.1,0.345,1.4,4.4,0.307,0.4,0.7,0.583,0.477,0.5,0.8,0.692,0.5,3.9,4.5,2.5,0.6,0.5,1.0,1.8,5.4
299.0,Jalen Wilson,25.0,BRK,PF,14.0,0.0,15.3,1.7,4.6,0.375,1.2,3.1,0.386,0.5,1.4,0.35,0.508,0.8,1.0,0.786,0.1,0.9,1.0,0.6,0.1,0.0,0.7,1.3,5.4
300.0,RayJ Dennis,24.0,IND,PG,12.0,0.0,13.5,1.8,5.8,0.314,1.0,3.1,0.324,0.8,2.8,0.303,0.4,0.7,0.8,0.889,0.7,0.9,1.6,2.1,0.3,0.3,1.2,1.3,5.3
301.0,Jeremiah Robinson-Earl,25.0,IND,PF,12.0,3.0,19.1,2.0,5.3,0.381,0.5,1.8,0.286,1.5,3.5,0.429,0.429,0.8,0.9,0.909,2.3,3.2,5.4,0.7,0.5,0.0,0.6,1.3,5.3
302.0,Pat Spencer,29.0,GSW,PG,11.0,0.0,13.2,1.8,5.0,0.364,0.5,1.6,0.333,1.3,3.4,0.378,0.418,1.1,1.3,0.857,0.8,1.3,2.1,2.7,0.7,0.1,0.7,1.2,5.3
303.0,Dean Wade,29.0,CLE,PF,17.0,2.0,22.4,1.8,4.9,0.373,1.1,3.6,0.295,0.8,1.3,0.591,0.482,0.6,0.9,0.625,0.9,3.1,3.9,1.6,0.8,0.6,0.4,1.9,5.3
304.0,Maxime Raynaud,22.0,SAC,C,10.0,0.0,13.6,2.1,4.5,0.467,0.1,0.6,0.167,2.0,3.9,0.513,0.478,0.9,1.1,0.818,0.8,2.6,3.4,0.6,0.3,0.3,0.6,1.6,5.2
305.0,Tyrese Proctor,21.0,CLE,PG,16.0,0.0,11.9,1.6,5.0,0.325,0.9,3.2,0.275,0.8,1.8,0.414,0.413,0.9,1.1,0.882,0.1,1.1,1.3,1.3,0.3,0.0,0.4,1.3,5.1
306.0,Kevin Love,37.0,UTA,PF,10.0,0.0,13.9,1.5,3.8,0.395,1.0,3.0,0.333,0.5,0.8,0.625,0.526,1.0,1.2,0.833,1.0,3.4,4.4,2.0,0.1,0.4,1.0,1.7,5.0
307.0,Matisse Thybulle,28.0,POR,SG,4.0,0.0,12.3,1.5,2.5,0.6,1.0,1.5,0.667,0.5,1.0,0.5,0.8,1.0,1.0,1.0,0.0,1.0,1.0,0.8,2.5,0.0,0.3,1.8,5.0
308.0,Tony Bradley,28.0,IND,C,17.0,3.0,12.9,2.0,3.5,0.576,0.0,0.1,0.0,2.0,3.4,0.586,0.576,0.9,1.2,0.714,1.8,1.1,2.9,0.7,0.1,0.2,0.4,2.4,4.9
309.0,Cam Christie,20.0,LAC,SG,13.0,0.0,10.9,1.4,3.6,0.383,0.6,1.8,0.348,0.8,1.8,0.417,0.468,1.5,2.1,0.741,0.4,1.6,2.0,0.7,0.3,0.2,0.4,0.6,4.9
310.0,Karlo Matković,24.0,NOP,PF,12.0,0.0,11.4,2.2,3.1,0.703,0.3,0.8,0.444,1.8,2.3,0.786,0.757,0.3,0.7,0.375,0.7,2.1,2.8,0.8,0.2,0.5,0.4,1.2,4.9
311.0,KJ Simpson,23.0,CHO,PG,8.0,0.0,13.1,1.9,5.4,0.349,0.8,2.0,0.375,1.1,3.4,0.333,0.419,0.4,0.5,0.75,0.4,1.6,2.0,2.5,0.6,0.0,1.4,1.0,4.9
312.0,Keaton Wallace,26.0,ATL,PG,17.0,2.0,15.5,1.8,4.1,0.443,1.1,2.6,0.432,0.7,1.5,0.462,0.579,0.2,0.5,0.375,0.1,1.6,1.6,2.8,0.8,0.2,0.9,1.5,4.9
313.0,Jordan Walsh,21.0,BOS,PF,13.0,5.0,17.8,1.9,3.9,0.49,0.6,1.5,0.4,1.3,2.4,0.548,0.569,0.5,0.6,0.75,1.2,2.9,4.2,0.9,0.8,0.5,0.4,2.2,4.9
314.0,Bryce McGowens,23.0,NOP,SG,8.0,0.0,10.0,1.4,2.8,0.5,0.3,0.6,0.4,1.1,2.1,0.529,0.545,1.8,2.3,0.778,0.3,0.8,1.0,0.6,0.4,0.1,0.3,0.8,4.8
315.0,Robert Williams,28.0,POR,C,11.0,0.0,13.1,2.3,3.5,0.641,0.1,0.5,0.2,2.2,3.1,0.706,0.654,0.2,0.3,0.667,2.0,2.5,4.5,0.7,0.6,1.1,0.4,0.8,4.8
316.0,Kelly Olynyk,34.0,SAS,C,7.0,0.0,11.9,1.4,3.0,0.476,0.4,1.3,0.333,1.0,1.7,0.583,0.548,1.4,1.9,0.769,1.1,2.0,3.1,2.4,0.4,0.0,1.3,1.7,4.7
317.0,Nicolas Batum,37.0,LAC,PF,18.0,2.0,18.1,1.5,3.9,0.386,1.4,3.6,0.385,0.1,0.3,0.4,0.564,0.2,0.2,1.0,0.4,2.3,2.8,0.7,0.9,0.4,0.6,1.8,4.6
318.0,Jordan Hawkins,23.0,NOP,SG,16.0,0.0,15.2,1.8,5.6,0.315,0.8,2.9,0.261,1.0,2.7,0.372,0.382,0.3,0.4,0.714,0.4,1.5,1.9,1.0,0.1,0.0,0.4,0.6,4.6
319.0,Jarred Vanderbilt,26.0,LAL,PF,14.0,2.0,18.4,1.6,3.6,0.44,0.3,1.0,0.286,1.3,2.6,0.5,0.48,1.1,1.4,0.842,1.4,4.2,5.6,1.5,1.0,0.4,1.6,1.9,4.6
320.0,Jaylen Clark,24.0,MIN,SG,15.0,0.0,15.8,1.6,3.8,0.421,0.6,1.7,0.36,1.0,2.1,0.469,0.5,0.7,1.3,0.55,1.4,1.3,2.7,0.6,0.9,0.1,0.3,2.1,4.5
321.0,Eric Gordon,37.0,PHI,SG,4.0,0.0,11.0,1.8,2.3,0.778,1.0,1.5,0.667,0.8,0.8,1.0,1.0,0.0,0.0,,0.3,0.3,0.5,0.8,0.8,0.0,0.8,0.5,4.5
322.0,DeAndre Jordan,37.0,NOP,C,2.0,1.0,11.5,2.0,2.5,0.8,0.0,0.0,,2.0,2.5,0.8,0.8,0.5,1.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,0.5,0.5,4.5
323.0,Olivier-Maxence Prosper,23.0,MEM,PF,11.0,0.0,10.1,1.3,2.8,0.452,0.1,0.8,0.111,1.2,2.0,0.591,0.468,1.8,2.0,0.909,0.8,1.5,2.4,0.5,0.2,0.1,0.5,0.5,4.5
324.0,Antonio Reeves,25.0,CHO,SG,2.0,0.0,10.5,1.5,3.0,0.5,1.5,2.5,0.6,0.0,0.5,0.0,0.75,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,4.5
325.0,Ja'Kobe Walter,21.0,TOR,SG,15.0,1.0,13.6,1.5,3.5,0.434,1.0,2.5,0.405,0.5,1.1,0.5,0.575,0.4,0.5,0.857,0.7,0.7,1.5,0.7,1.1,0.1,0.7,1.8,4.5
326.0,Sidy Cissoko,21.0,POR,SF,13.0,4.0,16.7,1.6,3.8,0.42,0.6,2.0,0.308,1.0,1.8,0.542,0.5,0.5,1.0,0.538,0.7,1.3,2.0,1.4,0.6,0.0,0.8,2.0,4.4
327.0,Rob Dillingham,21.0,MIN,PG,15.0,0.0,10.9,1.8,4.8,0.375,0.3,1.1,0.25,1.5,3.7,0.411,0.403,0.5,0.7,0.727,0.2,1.0,1.2,2.0,1.0,0.0,1.2,1.1,4.4
328.0,Oso Ighodaro,23.0,PHO,PF,18.0,4.0,15.9,1.9,3.7,0.53,0.0,0.1,0.0,1.9,3.6,0.538,0.53,0.5,0.9,0.563,0.7,2.6,3.3,1.6,0.6,0.7,1.2,2.4,4.4
329.0,Trayce Jackson-Davis,25.0,GSW,C,12.0,1.0,12.3,1.7,3.2,0.526,0.0,0.0,,1.7,3.2,0.526,0.526,1.1,1.7,0.65,1.8,1.5,3.3,1.0,0.3,0.6,0.7,1.6,4.4
330.0,Nique Clifford,23.0,SAC,SG,14.0,2.0,17.2,1.4,4.0,0.357,0.6,1.9,0.308,0.9,2.1,0.4,0.429,0.9,1.3,0.667,0.8,2.1,2.9,1.9,0.4,0.3,0.6,2.2,4.3
331.0,Pat Connaughton,33.0,CHO,SG,12.0,0.0,9.7,1.5,3.1,0.486,0.8,2.0,0.375,0.8,1.1,0.692,0.608,0.5,0.8,0.667,0.3,1.6,1.9,0.6,0.4,0.1,0.3,0.4,4.3
