Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
368.0,Tidjane Salaün,20.0,CHO,PF,7.0,0.0,83.0,9.6,0.508,0.632,0.316,6.9,27.4,17.2,7.9,1.2,1.1,12.2,12.3,0.0,0.1,0.1,0.05,-2.9,-1.0,-3.9,0.0
369.0,Jamison Battle,24.0,TOR,SF,13.0,0.0,82.0,18.0,0.912,0.68,0.12,1.4,16.1,9.0,3.4,1.2,1.2,16.0,16.2,0.2,0.1,0.3,0.161,4.2,0.4,4.7,0.1
370.0,Obi Toppin,27.0,IND,PF,3.0,0.0,82.0,12.0,0.526,0.472,0.25,3.6,23.1,12.7,10.1,1.7,0.0,13.1,22.8,-0.1,0.1,0.0,0.01,-2.3,-0.7,-3.0,0.0
371.0,Thomas Bryant,28.0,CLE,C,13.0,0.0,81.0,10.2,0.433,0.516,0.097,7.8,19.3,13.4,3.5,2.3,4.5,5.8,17.5,-0.1,0.1,0.1,0.033,-5.6,0.2,-5.4,-0.1
372.0,Chris Youngblood,23.0,OKC,SG,16.0,0.0,80.0,7.4,0.528,0.864,0.273,2.9,11.9,7.6,6.2,0.6,0.0,3.9,13.8,0.1,0.1,0.2,0.121,-4.6,-0.9,-5.5,-0.1
373.0,Bryce McGowens,23.0,NOP,SG,8.0,0.0,80.0,15.6,0.635,0.227,0.818,2.6,9.1,5.6,9.1,1.8,1.3,6.3,16.6,0.2,0.0,0.2,0.121,-0.3,-0.5,-0.9,0.0
374.0,Will Riley,19.0,WAS,SF,12.0,0.0,79.0,10.2,0.45,0.25,0.25,4.0,15.6,9.9,17.2,1.8,0.0,10.1,15.6,0.0,0.0,0.0,-0.014,-2.9,-1.7,-4.6,-0.1
375.0,Maxi Kleber,34.0,LAL,PF,6.0,0.0,78.0,6.9,0.557,0.556,0.222,8.1,11.7,10.0,6.2,0.6,3.8,9.2,6.0,0.1,0.1,0.1,0.091,-3.4,0.6,-2.8,0.0
376.0,Jordan McLaughlin,29.0,SAS,PG,8.0,0.0,74.0,15.0,0.553,0.625,0.125,4.8,4.4,4.6,18.2,4.6,0.0,7.3,15.8,0.1,0.1,0.3,0.162,-0.4,3.5,3.1,0.1
377.0,Luke Travers,24.0,CLE,SG,8.0,0.0,73.0,9.4,0.311,0.48,0.36,5.8,16.8,11.2,10.1,3.9,4.9,3.3,16.9,-0.1,0.2,0.0,0.02,-5.7,2.7,-3.0,0.0
378.0,Carter Bryant,20.0,SAS,PF,11.0,0.0,72.0,4.6,0.405,0.531,0.094,5.0,18.0,11.8,0.0,1.3,1.3,10.7,22.1,-0.2,0.1,-0.1,-0.069,-6.8,-3.2,-10.0,-0.1
379.0,Ariel Hukporti,23.0,NYK,C,10.0,2.0,72.0,7.4,0.461,0.0,0.5,14.4,20.9,17.5,8.3,0.7,2.9,33.9,8.5,0.0,0.1,0.1,0.037,-4.4,-0.2,-4.6,0.0
380.0,Julian Strawther,23.0,DEN,SG,9.0,0.0,71.0,7.7,0.462,0.533,0.433,0.0,20.6,11.0,7.3,0.0,1.3,7.7,23.2,-0.1,0.1,0.0,-0.008,-6.5,-2.7,-9.3,-0.1
381.0,Yang Hansen,20.0,POR,C,9.0,0.0,70.0,6.4,0.406,0.387,0.258,7.3,16.5,11.6,13.8,0.0,5.2,16.9,23.4,-0.2,0.0,-0.1,-0.086,-6.4,-1.3,-7.7,-0.1
382.0,Jase Richardson,20.0,ORL,SG,11.0,0.0,68.0,13.1,0.615,0.478,0.217,1.7,9.9,5.8,21.0,0.7,0.0,13.7,18.0,0.1,0.1,0.2,0.108,0.1,-1.2,-1.1,0.0
383.0,Mason Plumlee,35.0,CHO,C,8.0,1.0,66.0,13.2,0.847,0.0,1.75,8.7,24.2,16.4,17.4,1.5,0.0,36.1,7.0,0.1,0.0,0.1,0.103,-0.3,1.3,1.0,0.1
384.0,Elijah Harkless,25.0,UTA,SG,7.0,0.0,66.0,7.5,0.568,0.636,0.818,3.2,6.8,5.0,9.7,2.9,0.0,16.7,11.0,0.0,0.0,0.1,0.047,-5.2,1.6,-3.5,0.0
385.0,Paul George,35.0,PHI,PF,3.0,3.0,66.0,17.6,0.526,0.516,0.516,1.6,21.9,11.7,24.7,2.2,4.0,13.6,27.9,0.0,0.1,0.1,0.068,0.9,1.7,2.7,0.1
386.0,Devin Carter,23.0,SAC,PG,8.0,0.0,65.0,6.9,0.366,0.524,0.238,5.0,16.1,10.4,17.7,4.4,1.4,20.5,19.1,-0.2,0.1,-0.1,-0.088,-6.5,1.8,-4.6,0.0
387.0,Xavier Tillman Sr.,27.0,BOS,C,8.0,0.0,65.0,15.3,0.556,0.444,0.0,11.5,16.9,14.2,10.3,2.3,1.5,5.3,12.5,0.1,0.1,0.2,0.16,0.6,1.4,2.0,0.1
388.0,Monte Morris,30.0,IND,PG,6.0,0.0,65.0,7.1,0.414,0.4,0.2,1.5,10.3,5.6,20.4,0.7,1.4,8.4,14.9,0.0,0.0,0.0,-0.023,-4.6,-2.0,-6.6,-0.1
389.0,Brandon Miller,23.0,CHO,SF,3.0,3.0,65.0,17.0,0.513,0.488,0.302,0.0,1.8,0.9,29.9,1.5,2.7,5.8,33.1,0.1,0.0,0.1,0.067,-1.2,-2.5,-3.6,0.0
390.0,Zeke Nnaji,25.0,DEN,PF,8.0,1.0,62.0,7.8,0.625,0.692,0.385,1.9,18.5,10.8,3.9,1.6,3.0,20.8,13.2,0.0,0.1,0.1,0.064,-5.1,0.5,-4.6,0.0
391.0,Ryan Nembhard,22.0,DAL,PG,6.0,0.0,62.0,5.1,0.386,0.273,0.136,1.7,4.9,3.3,38.7,0.0,0.0,20.5,19.7,-0.1,0.0,-0.1,-0.082,-5.5,-3.0,-8.5,-0.1
392.0,Andre Jackson Jr.,24.0,MIL,SG,8.0,0.0,58.0,6.6,0.324,0.615,0.154,5.9,5.9,5.9,26.7,3.3,1.6,22.4,13.5,-0.1,0.1,0.0,-0.008,-6.1,-0.1,-6.2,-0.1
393.0,Cody Martin,30.0,IND,SF,4.0,0.0,55.0,3.1,0.277,0.5,0.6,1.8,26.3,13.3,4.8,3.4,3.3,24.0,12.3,-0.2,0.1,-0.1,-0.096,-10.1,1.8,-8.3,-0.1
394.0,GG Jackson II,21.0,MEM,PF,8.0,0.0,54.0,5.0,0.313,0.429,0.321,5.7,22.0,13.7,5.4,3.5,1.8,5.9,26.0,-0.2,0.1,-0.2,-0.135,-9.7,-1.6,-11.4,-0.1
395.0,Rasheer Fleming,21.0,PHO,PF,9.0,0.0,53.0,4.9,0.368,0.6,0.2,14.9,12.8,13.9,4.9,0.9,1.8,12.1,19.5,-0.1,0.0,0.0,-0.033,-7.9,-3.8,-11.6,-0.1
396.0,Jalen Pickett,26.0,DEN,SG,7.0,1.0,53.0,8.6,0.583,0.467,0.067,4.5,9.8,7.3,16.6,0.0,0.0,20.6,15.6,0.0,0.0,0.0,0.045,-2.2,-2.0,-4.2,0.0
397.0,Bobi Klintman,22.0,DET,SF,6.0,0.0,53.0,4.2,0.381,0.524,0.143,10.6,22.4,16.6,9.7,1.8,0.0,18.3,21.3,-0.2,0.1,-0.1,-0.067,-8.6,-2.0,-10.6,-0.1
398.0,Drew Peterson,26.0,CHO,PF,4.0,0.0,53.0,1.2,0.168,0.786,0.143,4.3,10.7,7.5,4.7,2.7,1.7,0.0,11.7,-0.2,0.0,-0.1,-0.102,-8.7,-1.3,-10.0,-0.1
399.0,David Jones García,24.0,SAS,SF,6.0,0.0,49.0,22.4,0.542,0.105,0.263,9.7,15.5,12.7,39.4,3.9,1.9,12.4,21.1,0.1,0.1,0.2,0.204,3.1,3.3,6.4,0.1
400.0,Matisse Thybulle,28.0,POR,SG,4.0,0.0,49.0,21.4,0.85,0.6,0.4,0.0,9.4,4.4,8.2,9.6,0.0,7.8,10.3,0.2,0.1,0.3,0.268,0.5,10.4,10.9,0.2
401.0,Jordan Miller,26.0,LAC,SF,3.0,0.0,49.0,18.5,0.717,0.563,0.5,7.3,11.7,9.5,9.4,1.0,0.0,13.3,20.3,0.1,0.0,0.1,0.14,4.8,-2.8,2.0,0.1
402.0,Malaki Branham,22.0,WAS,SG,7.0,0.0,48.0,17.6,0.628,0.529,0.706,6.6,12.8,9.8,14.9,1.0,0.0,11.9,22.0,0.1,0.0,0.1,0.104,1.4,-2.4,-1.0,0.0
403.0,Bismack Biyombo,33.0,SAS,C,6.0,0.0,46.0,3.6,0.5,0.0,0.0,5.2,9.4,7.4,5.1,3.2,2.0,50.0,3.7,0.0,0.1,0.1,0.058,-6.4,2.8,-3.7,0.0
404.0,Lindy Waters III,28.0,SAS,SG,6.0,0.0,46.0,9.5,0.625,1.0,0.0,0.0,16.5,8.6,8.5,0.0,0.0,0.0,11.1,0.1,0.0,0.1,0.122,0.1,-0.8,-0.7,0.0
405.0,Eric Gordon,37.0,PHI,SG,4.0,0.0,44.0,15.8,1.0,0.667,0.0,2.5,2.5,2.5,9.8,3.3,0.0,25.0,11.4,0.1,0.0,0.1,0.128,2.2,0.8,3.0,0.1
406.0,Wendell Moore Jr.,24.0,DET,SG,3.0,0.0,43.0,7.7,0.5,0.167,0.0,2.6,7.5,5.1,8.3,2.2,2.3,14.3,6.7,0.0,0.1,0.1,0.07,-3.9,1.4,-2.5,0.0
407.0,Yanic Konan Niederhauser,22.0,LAC,C,9.0,0.0,42.0,25.1,0.713,0.0,0.571,19.8,13.6,16.6,12.4,0.0,4.6,10.2,20.5,0.2,0.0,0.2,0.209,3.4,-1.6,1.9,0.0
408.0,Jae'Sean Tate,30.0,HOU,SF,8.0,0.0,41.0,1.5,0.364,0.273,0.0,2.8,13.4,8.2,3.0,1.2,0.0,8.3,12.1,0.0,0.0,0.0,-0.01,-9.6,-1.6,-11.3,-0.1
409.0,JD Davison,23.0,HOU,PG,6.0,0.0,41.0,17.4,0.735,0.7,0.2,0.0,2.7,1.4,19.4,2.4,2.4,0.0,11.0,0.2,0.0,0.2,0.232,3.1,2.6,5.7,0.1
410.0,AJ Johnson,21.0,WAS,SG,8.0,0.0,38.0,1.3,0.274,0.182,0.364,5.6,8.1,6.8,13.0,0.0,0.0,7.3,15.1,-0.1,0.0,-0.1,-0.141,-7.7,-4.7,-12.4,-0.1
411.0,Khaman Maluach,19.0,PHO,C,8.0,0.0,38.0,6.1,0.618,0.429,1.143,3.0,14.9,8.9,3.3,0.0,10.0,32.2,17.0,-0.1,0.0,0.0,-0.006,-10.4,1.2,-9.1,-0.1
412.0,Caleb Houstan,23.0,ATL,SF,7.0,0.0,38.0,11.8,0.69,0.727,0.273,8.8,2.9,5.8,6.9,1.2,2.5,19.6,17.1,0.0,0.0,0.1,0.088,-1.5,-2.1,-3.6,0.0
413.0,Joan Beringer,19.0,MIN,PF,9.0,0.0,37.0,16.3,0.731,0.0,0.273,6.1,28.7,17.7,0.0,1.3,4.9,14.0,16.3,0.1,0.1,0.1,0.162,-4.0,1.2,-2.9,0.0
414.0,Leonard Miller,22.0,MIN,SF,8.0,0.0,37.0,10.3,0.528,0.417,0.417,3.0,28.7,16.2,15.0,2.6,0.0,22.0,20.7,-0.1,0.1,0.0,0.027,-7.3,0.9,-6.4,0.0
415.0,Johnny Furphy,21.0,IND,SG,3.0,0.0,37.0,4.8,0.667,0.5,0.0,2.6,15.1,8.4,0.0,2.6,0.0,33.3,9.9,0.0,0.0,0.0,-0.02,-6.9,1.2,-5.8,0.0
