Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
334.0,Nae'Qwan Tomlin,25.0,CLE,PF,7.0,1.0,96.0,0.486,0.75,0.0,0.486,0.786,0.544,0.378,0.351,104.0,137.0,0.0,90.0,100.0,94.0,133.0,84.0,-4.2,-3.3
335.0,Gui Santos,23.0,GSW,PF,13.0,1.0,95.0,0.357,0.667,0.273,0.464,0.5,0.47,0.143,0.786,76.0,122.0,76.0,86.0,63.0,81.0,50.0,188.0,-4.4,-6.7
336.0,Gary Harris,31.0,MIL,SG,9.0,0.0,95.0,0.5,0.571,0.455,0.639,,0.639,0.0,0.611,107.0,104.0,127.0,118.0,,110.0,0.0,146.0,3.5,2.0
337.0,Caleb Love,24.0,POR,SG,7.0,0.0,95.0,0.294,0.429,0.2,0.353,0.75,0.37,0.078,0.588,63.0,78.0,56.0,65.0,95.0,63.0,28.0,141.0,-19.4,-22.4
338.0,Olivier-Maxence Prosper,23.0,MEM,PF,10.0,0.0,94.0,0.565,0.706,0.167,0.587,0.909,0.719,0.957,0.261,121.0,129.0,47.0,108.0,115.0,124.0,336.0,62.0,2.0,8.9
339.0,KJ Simpson,23.0,CHO,PG,7.0,0.0,93.0,0.333,0.333,0.333,0.397,0.75,0.417,0.103,0.385,71.0,61.0,93.0,73.0,95.0,72.0,36.0,92.0,-11.3,-13.5
340.0,Branden Carlson,26.0,OKC,C,11.0,0.0,91.0,0.424,0.588,0.25,0.485,0.5,0.489,0.121,0.485,91.0,108.0,70.0,89.0,63.0,84.0,43.0,116.0,-3.8,-6.5
341.0,Taelon Peter,23.0,IND,SG,10.0,0.0,90.0,0.25,0.5,0.227,0.354,1.0,0.395,0.125,0.917,53.0,91.0,63.0,65.0,127.0,68.0,44.0,219.0,-9.1,-9.5
342.0,Nick Smith Jr.,21.0,LAL,SG,6.0,0.0,90.0,0.432,0.421,0.444,0.541,0.667,0.548,0.081,0.486,92.0,77.0,124.0,100.0,84.0,94.0,28.0,116.0,-0.2,-2.6
343.0,Julian Phillips,22.0,CHI,SF,13.0,0.0,89.0,0.36,0.5,0.231,0.42,1.0,0.444,0.08,0.52,77.0,91.0,64.0,77.0,127.0,76.0,28.0,124.0,-6.1,-7.1
344.0,Jericho Sims,27.0,MIL,C,11.0,0.0,88.0,0.75,0.75,,0.75,0.75,0.768,0.5,0.0,160.0,137.0,,138.0,95.0,132.0,176.0,0.0,3.3,3.6
345.0,Spencer Jones,24.0,DEN,SF,10.0,0.0,88.0,0.556,0.75,0.4,0.667,0.75,0.697,0.444,0.556,119.0,137.0,112.0,123.0,95.0,120.0,156.0,133.0,2.2,2.5
346.0,Gabe Vincent,29.0,LAL,PG,4.0,3.0,88.0,0.313,0.333,0.308,0.438,1.0,0.491,0.188,0.813,67.0,61.0,86.0,81.0,127.0,84.0,66.0,194.0,-3.4,-3.2
347.0,Duop Reath,29.0,POR,C,11.0,0.0,84.0,0.583,0.5,0.591,0.854,,0.854,0.0,0.917,125.0,91.0,165.0,157.0,,147.0,0.0,219.0,14.9,13.1
348.0,Tidjane Salaün,20.0,CHO,PF,7.0,0.0,83.0,0.368,0.429,0.333,0.474,0.667,0.508,0.316,0.632,79.0,78.0,93.0,87.0,84.0,87.0,111.0,151.0,-2.6,-3.2
349.0,Asa Newell,20.0,ATL,PF,9.0,0.0,82.0,0.5,0.5,0.5,0.625,0.778,0.654,0.281,0.5,107.0,91.0,140.0,115.0,99.0,112.0,99.0,119.0,5.3,5.1
350.0,Obi Toppin,27.0,IND,PF,3.0,0.0,82.0,0.417,0.632,0.176,0.458,1.0,0.526,0.25,0.472,89.0,115.0,49.0,84.0,127.0,90.0,88.0,113.0,-6.1,-4.5
351.0,Tristan Vukcevic,22.0,WAS,C,11.0,0.0,79.0,0.4,0.5,0.286,0.467,0.667,0.51,0.4,0.467,85.0,91.0,80.0,86.0,84.0,88.0,140.0,112.0,-4.6,-5.1
352.0,Aaron Holiday,29.0,HOU,PG,8.0,0.0,78.0,0.6,0.778,0.5,0.76,0.929,0.818,0.56,0.64,128.0,142.0,140.0,140.0,118.0,141.0,197.0,153.0,10.9,14.7
353.0,Jamison Battle,24.0,TOR,SF,11.0,0.0,77.0,0.667,0.714,0.647,0.896,,0.896,0.0,0.708,142.0,131.0,181.0,165.0,,154.0,0.0,169.0,16.9,15.1
354.0,Dalen Terry,23.0,CHI,SG,9.0,0.0,76.0,0.474,0.583,0.286,0.526,0.429,0.521,0.368,0.368,101.0,107.0,80.0,97.0,54.0,89.0,129.0,88.0,-0.6,-2.7
355.0,Chris Boucher,33.0,BOS,PF,7.0,0.0,76.0,0.318,0.6,0.083,0.341,1.0,0.372,0.091,0.545,68.0,110.0,23.0,63.0,127.0,64.0,32.0,130.0,-8.9,-9.6
356.0,Kobe Brown,26.0,LAC,PF,8.0,0.0,75.0,0.421,0.571,0.333,0.526,1.0,0.578,0.211,0.632,90.0,104.0,93.0,97.0,127.0,99.0,74.0,151.0,-0.6,-0.2
357.0,Zach Edey,23.0,MEM,C,3.0,3.0,75.0,0.583,0.591,0.5,0.604,0.8,0.651,0.417,0.083,125.0,108.0,140.0,111.0,101.0,112.0,146.0,20.0,2.9,3.9
358.0,Jordan McLaughlin,29.0,SAS,PG,8.0,0.0,74.0,0.417,0.556,0.333,0.521,1.0,0.553,0.125,0.625,89.0,102.0,93.0,96.0,127.0,95.0,44.0,149.0,-1.1,-1.5
359.0,T.J. McConnell,33.0,IND,PG,5.0,0.0,73.0,0.439,0.455,0.375,0.476,1.0,0.483,0.024,0.195,94.0,83.0,105.0,88.0,127.0,83.0,9.0,47.0,-5.5,-8.3
360.0,Darius Garland,26.0,CLE,PG,3.0,3.0,73.0,0.333,0.294,0.368,0.431,1.0,0.493,0.222,0.528,71.0,54.0,103.0,79.0,127.0,85.0,78.0,126.0,-8.1,-7.0
361.0,Julian Strawther,23.0,DEN,SG,9.0,0.0,71.0,0.367,0.643,0.125,0.4,0.692,0.462,0.433,0.533,78.0,118.0,35.0,74.0,88.0,79.0,152.0,127.0,-8.6,-8.6
362.0,Kelly Olynyk,34.0,SAS,C,6.0,0.0,69.0,0.556,0.636,0.429,0.639,0.75,0.674,0.444,0.389,119.0,116.0,120.0,118.0,95.0,116.0,156.0,93.0,3.5,3.9
363.0,Kyle Anderson,32.0,UTA,SF,4.0,0.0,69.0,0.455,0.455,,0.455,0.667,0.501,0.409,0.0,97.0,83.0,,84.0,84.0,86.0,144.0,0.0,-3.9,-4.2
364.0,Chris Youngblood,23.0,OKC,SG,14.0,0.0,67.0,0.313,0.0,0.333,0.469,1.0,0.563,0.375,0.938,67.0,0.0,93.0,86.0,127.0,97.0,132.0,224.0,-2.4,-0.7
365.0,Tyler Kolek,24.0,NYK,PG,10.0,0.0,67.0,0.417,0.636,0.231,0.479,,0.479,0.0,0.542,89.0,116.0,64.0,88.0,,82.0,0.0,129.0,-3.1,-4.9
366.0,Jevon Carter,30.0,CHI,PG,5.0,0.0,67.0,0.44,0.0,0.55,0.66,1.0,0.676,0.08,0.8,94.0,0.0,154.0,122.0,127.0,116.0,28.0,191.0,5.9,4.9
