CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
203952,Andrew Wiggins,1610612748,MIA,F,30.0,15,15,1.0,97,222,0.437,0.466,-0.029
1628392,Isaiah Hartenstein,1610612760,OKC,C-F,27.0,17,17,1.0,93,221,0.421,0.482,-0.061
1629651,Nic Claxton,1610612751,BKN,C,26.0,15,15,1.0,100,219,0.457,0.496,-0.039
1642852,Derik Queen,1610612740,NOP,C,20.0,16,16,1.0,100,216,0.463,0.495,-0.032
1641705,Victor Wembanyama,1610612759,SAS,F-C,21.0,12,12,1.0,85,214,0.397,0.48,-0.083
1630700,Dyson Daniels,1610612737,ATL,G,22.0,16,16,1.0,99,214,0.463,0.463,-0.001
1630532,Franz Wagner,1610612753,ORL,F,24.0,16,16,1.0,93,214,0.435,0.479,-0.044
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,16,16,1.0,86,213,0.404,0.489,-0.085
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,30.0,14,14,1.0,90,213,0.423,0.474,-0.051
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,26.0,15,15,1.0,96,212,0.453,0.48,-0.027
1629628,RJ Barrett,1610612761,TOR,F-G,25.0,16,16,1.0,99,212,0.467,0.46,0.007
1628401,Derrick White,1610612738,BOS,G,31.0,16,16,1.0,94,211,0.445,0.459,-0.014
1629028,Deandre Ayton,1610612747,LAL,C,27.0,14,14,1.0,91,209,0.435,0.478,-0.043
1642845,VJ Edgecombe,1610612755,PHI,G,20.0,15,15,1.0,99,208,0.476,0.471,0.005
203110,Draymond Green,1610612744,GSW,F,35.0,16,16,1.0,87,208,0.418,0.485,-0.067
1642907,Cedric Coward,1610612763,MEM,G,22.0,16,16,1.0,92,207,0.444,0.465,-0.021
1630530,Trey Murphy III,1610612740,NOP,F,25.0,16,16,1.0,110,206,0.534,0.475,0.059
1631109,Mark Williams,1610612756,PHX,C,23.0,14,14,1.0,99,205,0.483,0.491,-0.008
1641710,Anthony Black,1610612753,ORL,G,21.0,16,16,1.0,97,205,0.473,0.458,0.015
1631217,Moussa Diabaté,1610612766,CHA,F,23.0,15,15,1.0,110,201,0.547,0.503,0.044
1630178,Tyrese Maxey,1610612755,PHI,G,25.0,15,15,1.0,97,200,0.485,0.449,0.036
1630583,Santi Aldama,1610612763,MEM,F-C,24.0,16,16,1.0,90,199,0.452,0.479,-0.027
1630558,Davion Mitchell,1610612748,MIA,G,27.0,16,16,1.0,91,196,0.464,0.457,0.008
1631260,AJ Green,1610612749,MIL,G,26.0,16,16,1.0,94,196,0.48,0.472,0.008
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,27.0,17,17,1.0,83,195,0.426,0.45,-0.024
1641824,Matas Buzelis,1610612741,CHI,F,21.0,15,15,1.0,86,194,0.443,0.483,-0.04
1641730,Noah Clowney,1610612751,BKN,F-C,21.0,15,15,1.0,111,192,0.578,0.485,0.093
1631108,Max Christie,1610612742,DAL,G,22.0,17,17,1.0,90,190,0.474,0.455,0.018
203944,Julius Randle,1610612750,MIN,F-C,30.0,16,16,1.0,81,190,0.426,0.481,-0.055
