Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.
67.0,Jaden McDaniels,25.0,MIN,PF,14.0,14.0,436.0,0.553,11.2,0.718,0.247,0.306,0.147,0.018,0.282,0.566,0.762,0.519,0.32,0.667,0.521,0.667,0.92,0.059,8.0,0.438,0.571,0.0,0.0
68.0,Jaren Jackson Jr.,26.0,MEM,C,15.0,15.0,435.0,0.47,13.2,0.663,0.144,0.347,0.158,0.015,0.337,0.522,0.517,0.543,0.531,0.0,0.368,0.571,1.0,0.015,3.0,0.206,0.429,0.0,0.0
69.0,Nickeil Alexander-Walker,27.0,ATL,SG,14.0,11.0,435.0,0.47,14.8,0.545,0.268,0.141,0.066,0.071,0.455,0.565,0.66,0.536,0.462,0.357,0.356,0.492,0.875,0.01,2.0,0.211,0.368,0.0,0.0
70.0,Jarace Walker,22.0,IND,PF,15.0,9.0,433.0,0.306,16.0,0.516,0.127,0.242,0.127,0.019,0.484,0.321,0.4,0.237,0.45,0.0,0.289,0.462,0.864,0.006,0.0,0.132,0.4,0.0,0.0
71.0,Austin Reaves,27.0,LAL,SG,12.0,12.0,433.0,0.49,16.5,0.543,0.12,0.231,0.154,0.038,0.457,0.628,0.8,0.667,0.531,0.25,0.326,0.338,0.71,0.005,1.0,0.074,0.286,0.0,0.0
72.0,Anthony Black,22.0,ORL,PG,16.0,3.0,432.0,0.476,13.1,0.621,0.297,0.228,0.055,0.041,0.379,0.589,0.814,0.455,0.375,0.0,0.291,0.528,0.875,0.124,15.0,0.255,0.286,1.0,1.0
73.0,Cason Wallace,22.0,OKC,SG,15.0,15.0,432.0,0.417,15.8,0.443,0.183,0.226,0.026,0.009,0.557,0.471,0.762,0.269,0.333,0.0,0.375,0.375,1.0,0.052,5.0,0.297,0.474,0.0,0.0
74.0,Naji Marshall,28.0,DAL,SF,16.0,1.0,428.0,0.477,12.8,0.641,0.234,0.258,0.102,0.047,0.359,0.573,0.8,0.424,0.615,0.167,0.304,0.532,0.929,0.031,4.0,0.543,0.28,0.0,0.0
75.0,Jake LaRavia,24.0,LAL,PF,15.0,6.0,428.0,0.487,13.3,0.58,0.286,0.227,0.05,0.017,0.42,0.594,0.735,0.407,0.667,0.5,0.34,0.683,1.0,0.076,8.0,0.3,0.333,1.0,0.0
76.0,Draymond Green,35.0,GSW,PF,15.0,15.0,425.0,0.391,16.7,0.418,0.245,0.1,0.045,0.027,0.582,0.435,0.481,0.455,0.2,0.333,0.359,0.9,1.0,0.009,1.0,0.344,0.5,0.0,0.0
77.0,Deandre Ayton,27.0,LAL,C,14.0,14.0,425.0,0.699,5.8,1.0,0.429,0.346,0.179,0.045,0.0,0.699,0.806,0.667,0.5,0.714,,0.807,,0.199,28.0,,,0.0,0.0
78.0,Cedric Coward,22.0,MEM,SG,16.0,3.0,424.0,0.481,14.8,0.519,0.228,0.179,0.099,0.012,0.481,0.548,0.703,0.414,0.438,0.5,0.41,0.63,0.906,0.062,9.0,0.269,0.286,0.0,0.0
79.0,Michael Porter Jr.,27.0,BRK,SF,13.0,13.0,424.0,0.474,16.8,0.513,0.158,0.132,0.132,0.09,0.487,0.583,0.892,0.484,0.419,0.429,0.36,0.629,0.902,0.064,14.0,0.149,0.294,0.0,0.0
80.0,Kelly Oubre Jr.,30.0,PHI,SF,12.0,12.0,418.0,0.497,14.8,0.55,0.208,0.235,0.067,0.04,0.45,0.622,0.806,0.514,0.4,0.667,0.343,0.549,0.957,0.067,9.0,0.239,0.5,0.0,0.0
81.0,Grayson Allen,30.0,PHO,SG,13.0,13.0,417.0,0.468,19.4,0.341,0.098,0.214,0.023,0.006,0.659,0.508,0.706,0.405,0.5,1.0,0.447,0.567,0.804,0.006,1.0,0.14,0.375,0.0,0.0
82.0,Stephon Castle,21.0,SAS,PG,13.0,13.0,416.0,0.497,11.9,0.677,0.323,0.219,0.123,0.013,0.323,0.619,0.76,0.441,0.579,0.5,0.24,0.323,1.0,0.071,11.0,0.14,0.429,0.0,0.0
83.0,Victor Wembanyama,22.0,SAS,C,12.0,12.0,416.0,0.502,12.4,0.738,0.303,0.176,0.136,0.122,0.262,0.558,0.821,0.359,0.4,0.37,0.345,0.582,0.85,0.163,34.0,0.103,0.5,0.0,0.0
84.0,CJ McCollum,34.0,WAS,SG,14.0,14.0,415.0,0.395,17.1,0.508,0.118,0.174,0.159,0.056,0.492,0.414,0.652,0.294,0.452,0.182,0.375,0.293,0.694,0.005,1.0,0.177,0.353,0.0,0.0
