Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
165,Zaccharie Risacher,20,ATL,SF,13,13,317,0,4,94,2,0,11.6,16.6,3,3,15,3,10,0,46,4,6
166,Ausar Thompson,23,DET,SF,11,10,314,0,13,75,12,0,7.5,1.1,5,6,11,0,16,2,85,5,5
167,Landry Shamet,28,NYK,SG,14,5,311,0,72,28,0,0,1.1,-9.1,6,1,9,0,13,6,42,2,5
168,Sam Merrill,29,CLE,SG,12,8,311,0,69,28,3,0,5.3,2.2,5,1,16,2,3,8,63,1,0
169,Cam Spencer,25,MEM,SG,16,1,309,57,43,0,0,0,-4.4,1.1,10,3,10,0,12,2,123,1,3
170,Mike Conley,38,MIN,PG,15,5,309,100,0,0,0,0,5.5,-4.1,9,2,19,1,4,1,128,0,0
171,Luke Kennard,29,ATL,SG,14,0,308,3,55,42,0,0,0.9,-1.9,11,3,8,2,3,1,76,1,5
172,Tre Mann,24,CHO,PG,14,1,308,84,16,0,0,0,-12.8,-15.8,12,6,15,5,3,2,107,0,5
173,Malik Monk,27,SAC,SG,13,0,308,36,64,0,0,0,-2.4,19.1,10,2,16,0,10,5,61,0,6
174,Luguentz Dort,26,OKC,SF,10,10,306,0,1,51,49,0,18.0,5.0,6,0,12,2,7,10,32,1,3
175,Ayo Dosunmu,26,CHI,SG,12,0,304,9,79,12,0,0,3.8,7.1,4,9,12,2,16,0,99,4,5
176,Lonzo Ball,28,CLE,PG,13,2,301,51,48,1,0,0,0.1,-6.5,19,5,13,2,2,0,158,0,3
177,Nikola Jović,22,MIA,PF,14,1,299,0,0,0,56,44,8.0,7.9,11,9,21,3,17,0,101,5,4
178,Buddy Hield,33,GSW,SG,17,0,298,36,39,25,0,0,-11.4,-18.3,12,5,9,1,5,0,69,1,4
179,Reed Sheppard,21,HOU,PG,13,0,298,85,12,3,0,0,8.6,-5.4,11,3,13,1,4,0,99,3,5
180,Patrick Williams,24,CHI,PF,14,0,297,0,0,30,68,2,-1.2,-1.8,7,3,14,2,9,0,51,3,4
