Player Name,Prop Category,Prop Line,GAME_DATE,Matchup,Team,Opponent,Best Pick,Tier,Score,Edge,Win_Prob,Median_Proj,TEAM_MISSING_USG
Dennis Schröder,FG3M,1.5,2025-11-20,SAC @ MEM,SAC,MEM,Over,C Tier,0.08,0.08,0.6365774,1.5755313175450831,22.7
Russell Westbrook,AST,6.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,0.46,-0.46,0.6335726,6.040953312671299,22.7
DeMar DeRozan,PRA,24.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,1.29,-1.29,0.6315465,23.20874989983159,22.7
Kristaps Porziņģis,REB,5.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,C Tier,0.21,-0.21,0.62814796,5.291632808244295,0.0
Zaccharie Risacher,PTS,11.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,C Tier,0.78,-0.78,0.6233754,10.717238522515444,0.0
Tristan da Silva,PTS,11.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,C Tier,0.09,-0.09,0.61982477,11.414186886011223,27.8
Dyson Daniels,AST,5.5,2025-11-20,ATL @ SAS,ATL,SAS,Over,C Tier,0.05,0.05,0.61153966,5.5497555098902405,0.0
Joel Embiid,RA,10.5,2025-11-20,PHI @ MIL,PHI,MIL,Under,C Tier,0.72,-0.72,0.59313977,9.779381960917217,0.0
Zach LaVine,REB,3.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,0.05,-0.05,0.5760181,3.4455727627124126,22.7
De'Aaron Fox,REB,3.5,2025-11-20,SAS vs ATL,SAS,ATL,Over,C Tier,0.13,0.13,0.5589421,3.6286121441046255,55.9
Desmond Bane,PTS,20.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,C Tier,1.29,-1.29,0.54707265,19.211561778394525,27.8
Russell Westbrook,PTS,13.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,0.48,-0.48,0.51422834,13.023896183856834,22.7
Quentin Grimes,PRA,23.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,C Tier,0.31,0.31,0.5075307,23.814410060742198,26.5
Jalen Johnson,AST,6.5,2025-11-20,ATL @ SAS,ATL,SAS,Over,C Tier,0.12,0.12,0.491339,6.624615792206274,0.0
Ivica Zubac,REB,10.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,C Tier,0.48,-0.48,0.48997718,10.02142507901714,15.5
